SaleID,Book Title,Genre,Price,Quantity Sold,Customer Age,Customer Gender,Purchase Date,Payment Method,Store Location
1,Triple-buffered reciprocal complexity,Non-Fiction,17.98,2,65,Female,7/26/2023,Cash,LA
2,Secured grid-enabled conglomeration,,19.08,4,34,Male,6/10/2023,Credit Card,Seattle
3,Progressive tertiary intranet,,8.14,4,21,Male,4/26/2024,PayPal,Seattle
4,Reactive next generation capacity,,17.94,5,22,Female,8/21/2022,PayPal,Chicago
5,Multi-channeled asynchronous access,,13.49,3,21,Female,1/4/2022,PayPal,Seattle
6,Triple-buffered incremental Graphic Interface,,11.23,4,69,Female,6/11/2023,Cash,Chicago
7,Open-source foreground functionalities,Sci-Fi,46.44,4,55,Female,11/23/2022,Credit Card,LA
8,Realigned clear-thinking hardware,Mystery,40.58,5,22,Male,2/5/2023,Credit Card,Miami
9,Balanced next generation encryption,Mystery,15.39,1,59,Female,1/11/2024,Credit Card,Miami
10,Persevering dedicated knowledgebase,Fantasy,28.53,5,50,Female,9/6/2022,Credit Card,LA
11,Re-engineered real-time database,Fantasy,19.81,1,30,Male,10/19/2022,PayPal,Seattle
12,Compatible didactic artificial intelligence,Non-Fiction,43.98,3,23,Male,8/12/2024,PayPal,Chicago
13,Sharable asymmetric toolset,Biography,29.79,5,30,Female,5/25/2024,PayPal,Seattle
14,Customizable upward-trending moratorium,Biography,27.03,1,47,Male,10/2/2022,Credit Card,Miami
15,Fully-configurable high-level secured line,Fantasy,48.72,2,37,Male,1/14/2022,Cash,Miami
16,Adaptive local orchestration,Fiction,16.99,2,62,Female,3/11/2022,Cash,Chicago
17,Fundamental attitude-oriented capacity,Sci-Fi,45.33,5,33,Female,5/5/2023,Credit Card,Chicago
18,Enhanced optimizing alliance,Mystery,42.72,3,59,Male,1/24/2022,PayPal,LA
19,Proactive clear-thinking policy,Fantasy,34.99,1,52,Female,7/27/2022,PayPal,Seattle
20,Advanced client-driven frame,Mystery,6.99,2,38,Female,7/13/2022,PayPal,LA
21,Multi-tiered fresh-thinking instruction set,Sci-Fi,48.59,2,69,Male,2/14/2022,Credit Card,LA
22,Stand-alone national capacity,Fantasy,46.51,2,48,Female,3/8/2023,Cash,Chicago
23,Digitized intermediate neural-net,Fantasy,10.98,1,35,Female,5/14/2023,Credit Card,Miami
24,Pre-emptive bandwidth-monitored application,Fantasy,24.37,3,42,Female,11/25/2023,Credit Card,Miami
25,User-friendly logistical Local Area Network,Fantasy,38.65,2,59,Male,7/1/2023,PayPal,Seattle
26,Cross-platform motivating task-force,Biography,38.62,2,62,Male,6/17/2024,PayPal,Chicago
27,Ergonomic heuristic strategy,Fiction,28.06,3,59,Female,5/5/2022,Credit Card,Seattle
28,Stand-alone methodical access,Mystery,38.83,3,45,Female,9/28/2023,Cash,Seattle
29,Compatible zero-defect orchestration,Sci-Fi,9.21,1,62,Female,9/9/2022,Cash,Seattle
30,Extended impactful customer loyalty,Biography,38.96,4,26,Female,9/30/2022,Credit Card,Miami
31,Sharable stable Graphical User Interface,Non-Fiction,16.82,3,68,Female,9/5/2023,Credit Card,NY
32,Grass-roots needs-based functionalities,Sci-Fi,26.97,5,56,Male,9/6/2023,PayPal,Chicago
33,Organized 3rdgeneration definition,Mystery,36.27,1,25,Female,8/13/2024,Cash,Miami
34,Configurable zero-defect toolset,Fantasy,32.1,1,57,Female,6/15/2023,Cash,Seattle
35,Re-engineered content-based model,Fiction,22.65,4,56,Female,2/18/2024,Credit Card,LA
36,Programmable uniform focus group,Fantasy,5.11,2,27,Female,12/28/2023,Cash,Seattle
37,Phased fresh-thinking algorithm,Biography,18.32,4,41,Male,9/14/2024,PayPal,Chicago
38,Centralized regional knowledge user,Biography,28.39,3,30,Female,9/4/2022,PayPal,NY
39,User-centric directional Internet solution,Biography,46.02,4,51,Female,7/15/2023,Cash,NY
40,Exclusive incremental project,Biography,24.46,1,46,Female,6/22/2024,Credit Card,NY
41,Adaptive interactive Graphical User Interface,Non-Fiction,40.91,5,69,Male,1/22/2023,Cash,LA
42,Object-based intangible emulation,Fantasy,29.53,1,65,Male,1/9/2022,Cash,NY
43,Virtual dedicated workforce,Mystery,47.44,5,50,Male,3/27/2023,Cash,LA
44,Distributed context-sensitive product,Fantasy,18.33,5,44,Male,2/18/2022,PayPal,Miami
45,Profit-focused bifurcated conglomeration,Non-Fiction,48.55,1,53,Male,3/20/2024,Credit Card,Chicago
46,Digitized incremental contingency,Sci-Fi,30.7,5,68,Female,4/10/2024,Cash,Seattle
47,Focused background structure,Sci-Fi,33.56,5,48,Female,8/9/2022,Cash,NY
48,Business-focused optimizing groupware,Non-Fiction,9.09,1,52,Male,1/27/2024,Credit Card,NY
49,Synchronized interactive paradigm,Non-Fiction,49.94,3,45,Female,2/10/2022,PayPal,Miami
50,Proactive disintermediate installation,Biography,43.03,1,44,Female,1/23/2022,Credit Card,Chicago
51,Reduced hybrid contingency,Mystery,10.92,4,31,Female,8/28/2022,Credit Card,Chicago
52,Virtual leadingedge secured line,Biography,41.55,3,19,Female,8/5/2022,Credit Card,NY
53,Universal client-server initiative,Mystery,37.57,3,36,Male,12/6/2022,Cash,LA
54,Automated dedicated time-frame,Non-Fiction,33.04,1,33,Female,10/19/2022,Cash,Miami
55,Vision-oriented clear-thinking strategy,Fiction,31.35,4,64,Female,8/16/2022,Cash,LA
56,Down-sized holistic synergy,Non-Fiction,37.52,3,31,Male,3/18/2023,PayPal,LA
57,Compatible bandwidth-monitored protocol,Fiction,35.14,4,33,Female,3/26/2024,Credit Card,LA
58,Synchronized content-based help-desk,Fiction,39.85,2,39,Male,11/24/2022,PayPal,LA
59,Profound optimal attitude,Fantasy,23.31,1,63,Male,6/25/2022,Credit Card,LA
60,Seamless holistic protocol,Fantasy,6.5,1,26,Male,2/12/2024,PayPal,Miami
61,Cross-group bottom-line Graphic Interface,Sci-Fi,40.2,1,24,Male,11/22/2023,Cash,NY
62,Cloned neutral framework,Fantasy,8.83,4,21,Male,4/23/2024,Credit Card,NY
63,Distributed transitional forecast,Sci-Fi,42.12,2,19,Male,1/20/2023,Cash,Seattle
64,Re-contextualized object-oriented alliance,Mystery,33.87,1,21,Female,2/26/2023,Cash,Chicago
65,Virtual human-resource analyzer,Fantasy,21.75,1,65,Female,8/11/2022,PayPal,Miami
66,Re-engineered grid-enabled matrix,Fiction,16.67,1,48,Male,9/12/2023,PayPal,Seattle
67,Multi-channeled empowering support,Sci-Fi,13.71,3,63,Male,10/21/2022,PayPal,Miami
68,Enterprise-wide 5thgeneration firmware,Biography,15.66,5,45,Female,9/11/2024,PayPal,LA
69,Devolved bandwidth-monitored open architecture,Biography,16.54,1,40,Male,9/18/2023,Cash,NY
70,Automated exuding algorithm,Biography,30.67,4,45,Female,9/21/2023,PayPal,Miami
71,Open-architected executive concept,Non-Fiction,46.63,1,51,Female,10/31/2022,Cash,Miami
72,Balanced secondary Graphical User Interface,Fantasy,28.45,1,34,Female,8/18/2024,Credit Card,Seattle
73,Expanded 24hour attitude,Sci-Fi,24.28,1,37,Male,7/29/2024,Credit Card,Chicago
74,Synergistic executive customer loyalty,Fiction,30.02,3,54,Male,8/29/2024,Credit Card,NY
75,User-centric zero tolerance emulation,Biography,17.51,5,36,Female,1/4/2022,Credit Card,Miami
76,Compatible 6thgeneration capability,Mystery,43.76,5,22,Female,8/22/2023,PayPal,Miami
77,Reduced web-enabled Local Area Network,Non-Fiction,22.03,4,39,Male,12/13/2022,PayPal,NY
78,Innovative web-enabled projection,Fantasy,35.74,5,47,Male,4/18/2023,PayPal,Seattle
79,Centralized foreground architecture,Fiction,45.61,2,60,Male,4/24/2022,Cash,Miami
80,Programmable explicit knowledge user,Sci-Fi,31.21,5,34,Male,12/18/2022,Credit Card,Seattle
81,Horizontal content-based middleware,Non-Fiction,28.3,3,41,Female,7/10/2023,PayPal,Miami
82,Centralized methodical frame,Sci-Fi,48.26,4,31,Male,4/16/2023,Cash,LA
83,Universal context-sensitive time-frame,Sci-Fi,13.92,2,67,Female,5/29/2023,Cash,LA
84,Business-focused attitude-oriented solution,Fiction,16.84,1,55,Female,5/19/2024,Cash,LA
85,Horizontal composite Graphic Interface,Mystery,25.19,3,63,Female,3/30/2023,PayPal,Seattle
86,Stand-alone bottom-line interface,Fantasy,41.96,5,41,Female,7/16/2023,Credit Card,LA
87,Front-line fault-tolerant software,Fiction,17.46,1,44,Male,8/16/2022,Cash,Miami
88,Centralized coherent migration,Fiction,25.42,3,40,Female,8/16/2022,PayPal,Chicago
89,Reduced static project,Non-Fiction,26.21,3,69,Male,6/3/2024,Cash,LA
90,Reverse-engineered grid-enabled forecast,Non-Fiction,31.05,2,54,Male,9/12/2024,Credit Card,NY
91,Ergonomic bandwidth-monitored service-desk,Fantasy,39.33,1,31,Male,8/21/2023,PayPal,Seattle
92,Re-engineered hybrid superstructure,Sci-Fi,11.09,4,31,Female,8/16/2024,Cash,LA
93,Operative transitional open system,Sci-Fi,49.95,5,20,Male,2/25/2022,Credit Card,LA
94,Ergonomic local artificial intelligence,Fantasy,22.14,5,33,Female,2/10/2023,PayPal,Seattle
95,Front-line empowering portal,Biography,49.95,4,57,Female,3/12/2023,PayPal,Chicago
96,Integrated uniform neural-net,Sci-Fi,18.54,4,44,Male,4/20/2024,Cash,LA
97,Future-proofed mobile extranet,Mystery,15.08,1,37,Female,6/5/2023,PayPal,Chicago
98,Open-architected 5thgeneration Graphical User Interface,Biography,13.05,5,36,Male,1/19/2024,Cash,Miami
99,Sharable cohesive core,Mystery,7.57,3,23,Female,8/10/2022,Credit Card,LA
100,Decentralized bifurcated structure,Non-Fiction,10.55,3,33,Female,6/4/2022,Cash,LA
101,Mandatory 5thgeneration leverage,Fantasy,22.63,4,35,Male,10/22/2022,Cash,Seattle
102,Persevering tertiary collaboration,Non-Fiction,12.82,3,46,Male,9/9/2022,Cash,Seattle
103,Robust executive utilization,Fiction,23.12,4,32,Male,6/4/2022,Credit Card,NY
104,Function-based empowering middleware,Fantasy,18,1,45,Female,9/14/2023,Credit Card,NY
105,Public-key intermediate moderator,Biography,21.4,4,21,Female,1/10/2024,Cash,Miami
106,Object-based next generation policy,Fiction,14.55,3,68,Female,5/24/2022,Credit Card,LA
107,Self-enabling maximized framework,Biography,15.28,5,33,Female,3/22/2023,Credit Card,Miami
108,Expanded uniform customer loyalty,Non-Fiction,16.15,2,22,Female,1/25/2022,Cash,Miami
109,Focused logistical info-mediaries,Biography,30.4,5,29,Male,12/11/2022,Credit Card,Chicago
110,Team-oriented dedicated parallelism,Non-Fiction,37.27,1,53,Male,9/28/2023,Credit Card,NY
111,Centralized foreground customer loyalty,Fiction,42.47,4,19,Female,10/2/2022,PayPal,Chicago
112,Implemented tertiary project,Biography,23.03,1,50,Male,4/20/2024,Credit Card,NY
113,Pre-emptive needs-based database,Sci-Fi,27.52,1,56,Male,4/16/2022,Cash,Chicago
114,Universal attitude-oriented frame,Sci-Fi,20.28,2,51,Female,4/17/2022,Credit Card,LA
115,Reverse-engineered client-driven flexibility,Fantasy,5.02,4,50,Female,3/19/2023,Cash,Chicago
116,Profit-focused foreground info-mediaries,Fantasy,36.1,1,57,Female,6/21/2023,Credit Card,LA
117,Managed analyzing groupware,Sci-Fi,27.8,1,23,Female,8/17/2024,PayPal,NY
118,Operative value-added toolset,Non-Fiction,15.51,2,43,Male,4/20/2022,PayPal,Miami
119,Exclusive value-added focus group,Biography,10.1,4,67,Female,12/11/2022,Credit Card,Chicago
