TransactionID,Product,Category,Price,Quantity Sold,Total Sale Value,Customer Age,Customer Gender,Purchase Date,Payment Method,Store Location,Discount Applied (%),Net Sale Value
1,Sweater,Apparel,40.42,8,323.36,64,Male,2015-06-17,PayPal,Chicago,34,213.42
2,Lotion,Beauty,467.42,6,2804.52,22,Female,2021-09-04,Gift Card,New York,28,2019.25
3,Nail Polish,Beauty,469.79,8,3758.32,27,Male,2018-10-12,Cash,Los Angeles,49,1916.74
4,Nail Polish,Beauty,250.42,4,1001.68,23,Male,2020-02-24,PayPal,Houston,42,580.97
5,Smartwatch,Electronics,488.23,8,3905.84,70,Female,2020-11-12,Gift Card,Seattle,36,2499.74
6,Desk,Furniture,202.05,8,1616.4,48,Male,2019-05-18,PayPal,Chicago,18,1325.45
7,Vegetables,Groceries,360.27,2,720.54,70,Male,2022-09-27,Gift Card,Los Angeles,38,446.73
8,Bed,Furniture,302.51,10,3025.1,20,Female,2024-03-14,PayPal,San Francisco,1,2994.85
9,Chair,Furniture,426.55,8,3412.4,55,Male,2016-07-16,Cash,San Francisco,48,1774.45
10,Chair,Furniture,214.19,3,642.5699999999999,21,Female,2018-07-03,Credit Card,San Francisco,35,417.67
11,Milk,Groceries,52.1,4,208.4,66,Female,2015-10-21,Credit Card,Chicago,5,197.98
12,Nail Polish,Beauty,188.96,6,1133.76,21,Male,2022-03-11,Cash,San Francisco,48,589.56
13,Laptop,Electronics,467.21,10,4672.099999999999,56,Female,2017-12-06,Cash,Chicago,47,2476.21
14,Tablet,Electronics,81.25,8,650.0,53,Male,2019-01-18,Cash,San Francisco,4,624.0
15,Smartwatch,Electronics,52.78,10,527.8,40,Male,2020-12-16,Cash,Chicago,20,422.24
16,Vegetables,Groceries,333.43,6,2000.58,61,Female,2019-09-01,Credit Card,Seattle,3,1940.56
17,Fruits,Groceries,107.67,5,538.35,33,Male,2018-01-04,PayPal,San Francisco,44,301.48
18,Shoes,Apparel,28.01,9,252.09,57,Female,2015-02-08,Credit Card,Houston,20,201.67
19,Lotion,Beauty,313.89,2,627.78,35,Male,2014-10-24,PayPal,Seattle,48,326.45
20,T-shirt,Apparel,388.64,4,1554.56,27,Male,2023-04-03,Gift Card,San Francisco,50,777.28
21,Headphones,Electronics,394.69,1,394.69,69,Male,2018-11-13,Cash,Los Angeles,20,315.75
22,Laptop,Electronics,310.1,3,930.3000000000001,54,Male,2020-05-09,PayPal,Seattle,33,623.3
23,Headphones,Electronics,197.64,9,1778.7599999999998,67,Female,2019-01-16,PayPal,Chicago,15,1511.95
24,Makeup Kit,Beauty,460.29,9,4142.610000000001,59,Male,2024-07-10,Credit Card,Los Angeles,24,3148.38
25,Jacket,Apparel,118.2,10,1182.0,40,Female,2020-05-17,Gift Card,Seattle,26,874.68
26,Bed,Furniture,479.38,4,1917.52,18,Female,2018-03-08,Gift Card,Seattle,36,1227.21
27,Chair,Furniture,297.16,6,1782.96,42,Female,2015-07-28,Credit Card,Los Angeles,33,1194.58
28,Sofa,Furniture,221.86,7,1553.02,66,Female,2015-09-15,Credit Card,Houston,8,1428.78
29,T-shirt,Apparel,142.99,8,1143.92,61,Male,2015-12-22,Cash,New York,27,835.06
30,Chair,Furniture,175.66,8,1405.28,63,Male,2024-04-03,Credit Card,Houston,19,1138.28
31,Shoes,Apparel,281.56,1,281.56,33,Female,2023-06-01,PayPal,New York,8,259.04
32,Smartphone,Electronics,79.0,3,237.0,59,Male,2022-01-30,Gift Card,Los Angeles,49,120.87
33,Chair,Furniture,170.95,9,1538.55,62,Female,2017-11-12,PayPal,Seattle,30,1076.98
34,Laptop,Electronics,177.22,2,354.44,25,Male,2016-03-05,Cash,Seattle,38,219.75
35,Jacket,Apparel,266.58,5,1332.8999999999999,56,Female,2018-05-18,PayPal,Chicago,44,746.42
36,Milk,Groceries,353.19,4,1412.76,50,Female,2020-09-26,Gift Card,New York,8,1299.74
37,Bed,Furniture,471.32,1,471.32,57,Male,2015-01-05,PayPal,Los Angeles,11,419.47
38,Chair,Furniture,421.64,3,1264.92,39,Female,2016-05-20,Credit Card,Chicago,27,923.39
39,Shoes,Apparel,266.92,4,1067.68,52,Male,2019-09-24,Gift Card,Seattle,2,1046.33
40,Sofa,Furniture,206.88,9,1861.92,67,Male,2024-07-21,Gift Card,New York,24,1415.06
41,T-shirt,Apparel,235.8,1,235.8,22,Female,2020-10-12,Credit Card,San Francisco,38,146.2
42,Sweater,Apparel,289.6,5,1448.0,32,Male,2024-02-16,PayPal,Los Angeles,6,1361.12
43,Eggs,Groceries,82.88,6,497.28,53,Female,2019-03-13,Credit Card,Seattle,6,467.44
44,Laptop,Electronics,92.07,10,920.6999999999999,60,Female,2023-09-11,PayPal,Chicago,41,543.21
45,Shampoo,Beauty,26.42,10,264.20000000000005,36,Female,2019-08-02,Cash,New York,5,250.99
46,Laptop,Electronics,399.6,3,1198.8000000000002,24,Female,2019-06-11,Cash,San Francisco,16,1006.99
47,Laptop,Electronics,38.99,4,155.96,57,Male,2021-01-27,Credit Card,New York,9,141.92
48,Smartphone,Electronics,280.66,2,561.32,70,Male,2024-04-01,Credit Card,Seattle,15,477.12
49,Fruits,Groceries,259.47,5,1297.3500000000001,62,Female,2019-08-05,PayPal,Chicago,40,778.41
50,T-shirt,Apparel,308.84,8,2470.72,50,Male,2023-06-03,Gift Card,San Francisco,41,1457.72
51,Shoes,Apparel,17.54,8,140.32,28,Male,2020-01-14,Gift Card,San Francisco,49,71.56
52,Shoes,Apparel,327.32,9,2945.88,36,Male,2022-05-20,PayPal,Houston,24,2238.87
53,Fruits,Groceries,430.33,8,3442.64,65,Male,2022-02-26,PayPal,Houston,3,3339.36
54,Chair,Furniture,243.28,3,729.84,40,Female,2018-06-12,Gift Card,Chicago,36,467.1
55,Smartwatch,Electronics,413.81,6,2482.86,36,Female,2024-03-16,PayPal,New York,15,2110.43
56,Sofa,Furniture,104.35,10,1043.5,29,Male,2015-04-30,Credit Card,Houston,33,699.14
57,Lotion,Beauty,488.29,8,3906.32,30,Female,2017-08-14,PayPal,Seattle,43,2226.6
58,Eggs,Groceries,335.55,1,335.55,70,Female,2023-12-08,PayPal,Chicago,39,204.69
59,Jeans,Apparel,276.8,8,2214.4,59,Male,2020-03-18,Gift Card,Houston,47,1173.63
60,Desk,Furniture,414.27,8,3314.16,32,Male,2018-06-23,Gift Card,New York,49,1690.22
61,Bed,Furniture,381.01,2,762.02,37,Male,2024-08-05,Cash,Houston,47,403.87
62,Smartwatch,Electronics,469.98,10,4699.8,63,Female,2016-11-02,Gift Card,Houston,30,3289.86
63,Sofa,Furniture,357.27,10,3572.7,38,Female,2016-06-28,PayPal,New York,28,2572.34
64,Perfume,Beauty,159.34,10,1593.4,28,Male,2017-02-21,PayPal,Chicago,10,1434.06
65,Bed,Furniture,86.79,5,433.95000000000005,28,Male,2015-02-25,Cash,Houston,33,290.75
66,Bread,Groceries,471.95,6,2831.7,63,Male,2015-08-20,Gift Card,Chicago,17,2350.31
67,Jacket,Apparel,431.51,5,2157.55,20,Female,2019-04-19,Gift Card,Los Angeles,25,1618.16
68,Smartphone,Electronics,461.73,9,4155.57,62,Male,2015-08-21,Gift Card,New York,3,4030.9
69,T-shirt,Apparel,19.78,8,158.24,42,Male,2022-08-21,Gift Card,Seattle,26,117.1
70,Vegetables,Groceries,348.63,9,3137.67,26,Female,2019-08-08,Credit Card,Seattle,36,2008.11
71,Milk,Groceries,303.19,4,1212.76,68,Female,2021-03-26,PayPal,Houston,43,691.27
72,Shoes,Apparel,17.15,7,120.04999999999998,40,Male,2024-07-24,PayPal,Seattle,46,64.83
73,Tablet,Electronics,198.49,7,1389.43,63,Male,2023-05-03,Cash,New York,4,1333.85
74,T-shirt,Apparel,350.75,2,701.5,27,Female,2021-11-26,Cash,Seattle,0,701.5
75,Perfume,Beauty,446.55,8,3572.4,59,Female,2019-01-19,Credit Card,Houston,20,2857.92
76,Smartwatch,Electronics,7.15,10,71.5,64,Female,2016-08-23,PayPal,Chicago,49,36.47
77,Nail Polish,Beauty,199.66,3,598.98,56,Male,2020-01-14,Cash,Houston,14,515.12
78,Desk,Furniture,368.05,6,2208.3,23,Male,2019-01-09,PayPal,Seattle,49,1126.23
79,Shoes,Apparel,37.56,5,187.8,58,Female,2016-02-29,Gift Card,Seattle,28,135.22
80,Headphones,Electronics,471.92,3,1415.76,45,Female,2017-01-11,Gift Card,Seattle,36,906.09
81,Makeup Kit,Beauty,126.08,6,756.48,70,Male,2017-07-05,PayPal,Seattle,2,741.35
82,Milk,Groceries,307.59,10,3075.8999999999996,45,Male,2021-06-14,Credit Card,Chicago,18,2522.24
83,Chair,Furniture,223.61,2,447.22,31,Female,2018-10-03,Gift Card,San Francisco,40,268.33
84,Jeans,Apparel,8.89,9,80.01,58,Male,2021-12-26,PayPal,Seattle,13,69.61
85,Vegetables,Groceries,270.68,6,1624.08,47,Female,2019-05-26,Gift Card,Seattle,41,958.21
